% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=480852, Sat Jul  6 19:23:19 2019
1 11 -0.03936411412023665 -0.00035713006999571516 0.0002619950525204705 0.030195682603423746 1 1 1 1 1 1 1 1 1 1 1 1
2 22 -0.03492719165886572 -0.00022123166371568564 0.00030652739920654885 0.060155095211501544 1 1 1 1 1 1 1 1 1 1 1 1
3 33 -0.0479593536617484 -0.0018271493555921895 2.2582502248889832e-05 0.08648949805080179 1 1 1 1 1 1 1 1 1 1 1 1
4 44 -0.05435740112719059 -0.00124592471517785 0.0011780212081493398 0.10409619209587247 1 1 1 1 1 1 1 1 1 1 1 1
5 55 -0.07004415616497214 -0.0002910694330894601 0.00034283111486604033 0.1319374440346166 1 1 1 1 1 1 1 1 1 1 1 1
6 66 -0.07880493510765363 -0.00024411075461175583 0.0002694985187958966 0.14469223238658815 1 1 1 1 1 1 1 1 1 1 1 1
7 77 -0.11765427679342946 -0.002395320741027538 0.0008548548878455375 0.16110471948924968 1 1 1 1 1 1 1 1 1 1 1 1
8 88 -0.12312457568836797 -0.0005564668482895094 0.00044157354931919414 0.15279758103267968 1 1 1 1 1 1 1 1 1 1 1 1
9 99 -0.14723475326800528 -0.0011344722713990893 0.0018824990582303816 0.15700318360162044 1 1 1 1 1 1 1 1 1 1 1 1
10 110 -0.14731471658927878 -0.0020637149844678765 0.0010005835868769687 0.14377484630497692 1 1 1 1 1 1 1 1 1 1 1 1
11 121 -0.16358104129466716 -0.0020168911730802236 0.0014993472182386993 0.12848243480009075 1 1 1 1 1 1 1 1 1 1 1 1
12 132 -0.142436886591277 -0.00279362211861138 0.004024497041364641 0.17623098192363928 1 1 1 1 1 1 1 1 1 1 1 1
13 143 -0.14499797012311852 -0.0009500228053696695 0.0008486647268887812 0.1669489110341554 1 1 1 1 1 1 1 1 1 1 1 1
14 154 -0.14220124911791931 -0.0013109330031611773 0.00013219661255755162 0.17040418258801224 1 1 1 1 1 1 1 1 1 1 1 1
15 165 -0.13325038439113662 -0.002216062502791805 0.0005965149098897502 0.171893952781381 1 1 1 1 1 1 1 1 1 1 1 1
16 176 -0.12656737377979385 -0.001805208208892319 0.0027922226161581037 0.18366054977450744 1 1 1 1 1 1 1 1 1 1 1 1
17 187 -0.137280177081479 -0.010052332692211787 0.0006086933494009088 0.22736696218282548 1 1 1 1 1 1 1 1 1 1 1 1
18 198 -0.13865213285617992 -0.0007102114570470226 0.0021060035173313544 0.24585125254910237 1 1 1 1 1 1 1 1 1 1 1 1
19 209 -0.11705528137105958 -0.0020209202967604338 0.005248724694192083 0.2725296413357534 1 1 1 1 1 1 1 1 1 1 1 1
20 220 -0.12417543205945723 -0.0009152240466653503 0.007550778582329747 0.2942401792975338 1 1 1 1 1 1 1 1 1 1 1 1
21 231 -0.11774109596322846 -0.006930207503393937 0.006078372399145062 0.3161485234588824 1 1 1 1 1 1 1 1 1 1 1 1
22 242 -0.13258517066036754 -0.0010770818837169036 0.00412061593763048 0.3205761920294291 1 1 1 1 1 1 1 1 1 1 1 1
23 253 -0.13863338208380427 -0.0038741589518033514 0.002448402934298765 0.32245468294482726 1 1 1 1 1 1 1 1 1 1 1 1
24 264 -0.12127705882852241 -0.005386762638894293 0.0029364563414088565 0.32066836502119095 1 1 1 1 1 1 1 1 1 1 1 1
25 275 -0.15843415357276783 -0.010143987412557062 0.0029512318535217553 0.34359774736587206 1 1 1 1 1 1 1 1 1 1 1 1
26 286 -0.14316549220996905 -0.003943531602130542 0.010874543306101754 0.34498057480554994 1 1 1 1 1 1 1 1 1 1 1 1
27 297 -0.15908280499507624 -0.000585242093038413 0.010935148737297309 0.3483778521210513 1 1 1 1 1 1 1 1 1 1 1 1
28 308 -0.14414800677014508 -0.004004605163195578 0.0019181690600118253 0.3625820740179309 1 1 1 1 1 1 1 1 1 1 1 1
